customer_id,order_id,order_date,order_amount
1,1,2020-10-03,268.98
1,2,2021-01-31,372.98
1,3,2020-09-28,61.16
1,4,2021-01-06,266.16
1,5,2021-03-17,24.96
1,6,2021-04-02,210.12
1,7,2020-09-19,22.87
1,8,2021-07-11,405.39
1,9,2020-10-02,153.58
1,10,2020-08-30,76.32
1,11,2020-11-26,226.16
1,12,2020-08-11,113.25
1,13,2021-07-08,170.03
1,14,2021-07-05,154.32
1,15,2021-06-03,62.19
2,16,2022-06-09,445.84
2,17,2022-06-05,298.53
2,18,2022-03-13,208.7
2,19,2021-10-15,373.07
2,20,2022-03-24,135.86
2,21,2022-02-25,49.28
2,22,2022-05-31,431.23
2,23,2021-08-02,447.06
2,24,2021-10-05,238.13
2,25,2021-10-06,135.1
2,26,2021-10-25,413.12
2,27,2021-11-10,241.66
2,28,2022-05-04,242.65
3,29,2021-12-11,468.07
3,30,2021-05-08,438.73
3,31,2022-02-05,203.72
3,32,2021-04-19,261.84
3,33,2021-08-19,409.96
3,34,2021-05-17,258.38
3,35,2021-08-04,413.67
3,36,2022-01-27,393.87
3,37,2021-09-21,424.3
3,38,2021-11-04,47.28
3,39,2021-10-18,420.68
3,40,2021-05-20,239.73
3,41,2022-02-14,127.29
3,42,2022-03-01,363.65
3,43,2021-07-22,155.96
4,44,2021-05-22,167.11
4,45,2021-08-10,269.97
4,46,2021-01-22,288.51
4,47,2021-08-18,308.98
4,48,2021-07-20,217.37
4,49,2020-11-02,132.54
4,50,2021-06-15,128.51
4,51,2021-08-06,337.44
4,52,2020-12-23,106.91
5,53,2021-04-15,259.34
5,54,2020-11-21,353.75
5,55,2021-03-02,360.27
5,56,2021-04-22,40.68
5,57,2020-10-17,245.9
5,58,2020-08-14,493.88
5,59,2020-09-13,270.34
5,60,2021-04-03,53.73
5,61,2021-05-21,284.28
5,62,2021-01-09,346.91
5,63,2020-10-24,149.3
5,64,2020-07-18,414.96
6,65,2020-07-06,265.33
6,66,2020-06-07,397.17
6,67,2020-07-23,222.42
6,68,2020-06-15,46.28
6,69,2020-04-17,323.23
6,70,2020-03-06,392.9
6,71,2020-04-11,267.04
7,72,2022-08-26,346.91
7,73,2022-08-25,280.4
7,74,2021-10-26,298.47
8,75,2022-01-13,493.93
8,76,2021-11-03,175.43
9,77,2021-06-12,493.41
9,78,2021-08-24,176.0
9,79,2021-08-20,55.26
9,80,2021-02-11,354.72
9,81,2021-10-31,301.66
9,82,2021-09-17,126.11
9,83,2022-01-20,348.58
9,84,2021-06-30,282.89
9,85,2021-07-17,386.51
9,86,2021-09-04,180.91
9,87,2021-03-30,143.54
9,88,2021-04-11,460.55
10,89,2020-08-19,353.47
10,90,2020-08-23,129.16
10,91,2020-05-02,72.24
10,92,2020-07-14,195.9
10,93,2020-09-28,177.6
10,94,2021-01-19,84.98
10,95,2020-08-23,275.52
10,96,2020-10-25,72.25
10,97,2020-04-12,434.79
11,98,2021-08-04,377.1
12,99,2021-01-04,246.43
12,100,2021-12-17,432.64
12,101,2021-12-19,355.65
12,102,2021-11-10,327.4
12,103,2021-11-09,352.75
12,104,2021-03-24,279.72
12,105,2021-04-09,51.58
12,106,2021-09-03,273.11
12,107,2021-05-01,34.34
12,108,2021-10-24,247.66
13,109,2022-01-18,399.98
13,110,2021-12-05,208.63
13,111,2021-08-18,397.58
13,112,2022-02-03,175.97
13,113,2021-08-25,287.22
13,114,2022-07-26,234.95
13,115,2022-01-30,129.58
13,116,2021-09-28,425.3
13,117,2021-10-28,279.89
13,118,2021-09-02,407.4
13,119,2021-10-06,205.83
13,120,2022-07-24,14.24
13,121,2022-01-28,355.93
13,122,2021-11-30,409.79
14,123,2021-01-04,486.07
14,124,2021-03-05,446.83
14,125,2021-04-08,430.55
14,126,2021-05-20,407.48
14,127,2021-08-30,71.29
14,128,2021-12-03,187.11
14,129,2021-10-14,46.69
14,130,2021-03-06,455.41
14,131,2021-09-18,327.37
15,132,2021-10-28,381.68
15,133,2022-01-30,471.6
15,134,2021-09-03,461.32
15,135,2022-02-10,379.57
15,136,2021-12-22,344.38
15,137,2021-07-05,382.15
15,138,2021-11-08,444.29
15,139,2021-08-31,429.43
15,140,2021-11-29,279.47
16,141,2021-04-17,358.31
16,142,2020-05-10,335.18
16,143,2020-12-19,379.53
16,144,2020-07-25,189.6
16,145,2021-02-21,326.57
16,146,2020-06-20,10.8
16,147,2021-05-01,481.0
16,148,2021-01-25,133.21
16,149,2021-03-03,90.51
16,150,2020-07-04,130.59
16,151,2020-08-04,451.05
16,152,2020-08-16,57.56
16,153,2021-01-18,267.25
16,154,2021-04-20,291.92
17,155,2021-10-03,154.16
17,156,2020-11-15,206.65
17,157,2020-11-20,335.81
17,158,2021-10-12,202.39
17,159,2021-06-15,191.26
17,160,2021-10-19,73.09
17,161,2021-08-17,255.49
17,162,2021-11-06,189.42
17,163,2021-08-08,488.25
17,164,2021-07-11,207.88
18,165,2021-09-05,374.5
18,166,2021-08-28,22.83
18,167,2021-02-22,400.03
18,168,2021-07-21,144.99
18,169,2021-11-18,21.74
18,170,2022-02-10,349.15
18,171,2021-03-15,397.89
18,172,2021-05-26,150.38
18,173,2022-01-14,28.12
18,174,2021-08-30,363.18
19,175,2021-01-10,14.66
19,176,2020-12-07,10.06
20,177,2021-04-07,298.87
21,178,2022-07-27,93.94
21,179,2022-07-06,294.13
21,180,2022-08-31,344.11
21,181,2022-07-15,107.71
22,182,2021-09-11,393.65
22,183,2021-10-22,479.03
22,184,2022-06-05,375.18
22,185,2021-12-05,336.92
22,186,2022-03-26,366.58
22,187,2021-08-13,330.11
22,188,2021-08-03,41.59
23,189,2022-03-03,160.56
23,190,2022-09-01,323.43
23,191,2022-05-14,248.52
23,192,2022-12-03,142.27
23,193,2022-08-18,472.57
24,194,2021-10-02,125.94
24,195,2022-03-29,22.44
24,196,2021-09-11,37.25
24,197,2021-06-25,188.1
24,198,2021-06-10,172.9
24,199,2022-01-24,148.11
24,200,2022-03-17,95.63
24,201,2021-12-08,351.87
24,202,2021-05-28,319.05
24,203,2021-08-28,88.38
24,204,2021-08-01,190.07
24,205,2022-03-28,223.08
25,206,2021-05-13,389.36
25,207,2021-01-24,424.98
25,208,2021-08-13,173.61
25,209,2021-01-26,447.34
25,210,2020-12-07,168.62
25,211,2020-12-19,308.03
25,212,2021-06-12,419.31
25,213,2020-12-20,480.69
25,214,2020-09-14,198.62
25,215,2021-03-28,103.06
25,216,2021-02-14,478.5
25,217,2020-10-28,191.78
25,218,2021-07-10,82.68
25,219,2021-04-20,161.12
25,220,2021-07-08,457.34
26,221,2022-05-04,293.92
26,222,2021-09-09,370.8
26,223,2021-05-13,47.91
26,224,2021-11-30,418.16
26,225,2021-05-10,64.45
26,226,2021-08-16,163.58
26,227,2022-01-15,82.15
26,228,2021-08-31,391.79
27,229,2022-03-19,268.52
27,230,2022-03-24,288.31
27,231,2022-05-10,265.27
27,232,2021-08-10,101.55
27,233,2021-05-31,82.26
27,234,2022-05-06,70.17
27,235,2021-11-21,23.94
27,236,2021-10-02,478.78
27,237,2021-12-31,112.94
27,238,2021-10-13,60.61
28,239,2022-07-16,495.69
28,240,2021-10-30,305.09
28,241,2021-10-12,72.61
29,242,2022-06-28,460.85
29,243,2022-04-07,225.47
30,244,2020-11-06,249.37
30,245,2021-05-02,486.97
30,246,2020-11-06,113.83
30,247,2021-01-14,295.16
30,248,2020-12-05,487.27
30,249,2021-08-15,104.68
30,250,2021-02-04,344.46
30,251,2021-05-17,257.04
30,252,2021-08-18,259.0
30,253,2021-04-19,279.62
31,254,2021-01-20,241.66
32,255,2020-06-13,397.08
32,256,2020-07-19,90.43
32,257,2021-05-14,158.8
32,258,2020-11-12,198.16
32,259,2020-09-12,114.71
33,260,2021-10-20,212.58
33,261,2021-03-12,226.33
33,262,2021-04-16,68.45
33,263,2021-08-12,316.7
33,264,2021-11-22,197.99
33,265,2021-07-03,392.8
33,266,2021-02-15,323.37
33,267,2021-10-31,326.45
33,268,2022-01-05,79.84
33,269,2021-08-05,199.99
33,270,2021-09-30,366.85
33,271,2021-05-20,178.54
34,272,2021-03-22,31.93
34,273,2020-06-26,75.22
34,274,2020-08-07,400.49
34,275,2020-10-17,71.86
34,276,2020-08-31,24.49
34,277,2021-03-08,127.89
34,278,2020-06-07,268.03
34,279,2021-04-19,38.88
34,280,2021-02-22,180.77
34,281,2021-02-08,296.39
35,282,2021-04-07,367.99
35,283,2021-04-04,475.02
36,284,2021-05-08,197.53
36,285,2020-07-30,176.95
36,286,2020-10-26,238.51
36,287,2020-07-20,90.06
36,288,2021-05-15,384.03
36,289,2020-12-24,328.31
36,290,2020-07-23,271.56
37,291,2021-06-07,356.15
37,292,2021-04-18,222.81
37,293,2021-09-03,113.25
37,294,2021-03-11,392.38
37,295,2021-03-27,430.31
37,296,2021-05-01,128.03
37,297,2021-10-21,109.33
37,298,2021-05-18,403.29
37,299,2021-06-21,127.76
37,300,2021-01-14,492.48
37,301,2021-11-21,341.98
37,302,2021-02-24,255.02
38,303,2021-03-20,450.05
38,304,2020-11-26,437.83
38,305,2021-03-30,209.83
38,306,2021-07-02,380.91
38,307,2021-04-01,94.81
38,308,2021-09-12,223.34
38,309,2020-12-29,376.76
39,310,2022-07-12,421.73
39,311,2021-10-08,474.88
39,312,2022-06-22,266.79
39,313,2022-05-19,134.48
39,314,2022-04-11,322.96
39,315,2022-06-02,26.68
39,316,2022-05-28,275.42
39,317,2022-05-08,240.25
39,318,2022-01-08,204.02
39,319,2022-06-05,377.69
39,320,2022-07-13,390.09
39,321,2021-10-31,149.26
39,322,2022-09-10,402.08
39,323,2021-12-14,74.48
40,324,2022-01-06,442.2
40,325,2021-12-01,393.82
40,326,2021-12-01,293.87
40,327,2021-11-05,70.02
40,328,2022-10-13,409.63
40,329,2021-12-13,328.43
40,330,2021-11-30,399.13
41,331,2022-03-15,339.43
41,332,2021-07-18,16.86
41,333,2022-02-24,260.98
41,334,2021-09-06,177.81
42,335,2020-12-17,125.2
42,336,2021-06-15,97.37
42,337,2020-11-11,187.0
42,338,2021-05-20,196.0
42,339,2020-12-25,419.34
42,340,2021-06-10,166.67
42,341,2021-06-17,488.83
42,342,2021-02-20,419.09
42,343,2021-03-06,357.73
42,344,2021-08-25,51.59
42,345,2020-12-15,172.13
42,346,2021-05-18,145.8
42,347,2021-09-21,431.78
43,348,2020-09-04,18.82
43,349,2020-10-14,179.91
43,350,2021-06-28,490.14
43,351,2021-03-27,281.73
43,352,2020-11-27,67.64
43,353,2020-10-07,39.6
44,354,2022-01-07,190.13
44,355,2022-08-01,87.57
44,356,2022-11-17,281.06
44,357,2022-10-15,31.73
44,358,2022-03-26,453.58
44,359,2022-11-29,53.28
44,360,2022-10-22,243.02
44,361,2022-07-23,150.04
44,362,2022-05-01,165.17
44,363,2022-07-18,336.58
44,364,2022-04-08,481.17
44,365,2022-08-06,329.81
44,366,2022-10-24,379.0
44,367,2022-07-09,233.07
44,368,2022-09-01,268.67
45,369,2021-07-17,432.04
45,370,2021-09-20,284.88
46,371,2022-12-15,315.59
46,372,2022-02-01,451.01
46,373,2022-10-25,290.87
46,374,2022-07-21,163.38
47,375,2022-02-06,74.08
47,376,2022-05-01,144.19
47,377,2021-12-01,264.74
47,378,2022-04-07,408.34
47,379,2022-08-03,309.87
47,380,2021-10-18,401.06
47,381,2021-12-05,359.74
47,382,2022-02-04,308.98
47,383,2021-11-18,46.11
47,384,2022-04-22,305.89
47,385,2022-06-18,414.96
47,386,2022-08-17,52.72
47,387,2022-06-09,132.56
47,388,2021-11-19,481.64
48,389,2020-12-16,74.92
48,390,2020-10-13,99.84
48,391,2020-05-08,287.81
48,392,2021-01-22,234.43
48,393,2020-10-01,378.93
48,394,2021-01-26,193.42
48,395,2020-10-06,174.68
48,396,2020-09-15,271.13
48,397,2021-01-04,204.33
48,398,2021-04-03,402.78
48,399,2020-09-29,495.49
48,400,2020-07-24,271.09
48,401,2020-11-13,379.56
48,402,2020-05-07,12.78
49,403,2020-12-03,174.85
49,404,2020-08-16,78.42
49,405,2020-04-12,268.66
49,406,2020-09-11,98.26
49,407,2020-11-05,223.52
49,408,2020-09-06,402.73
49,409,2021-01-24,445.01
49,410,2020-12-26,434.24
49,411,2020-08-30,444.51
49,412,2021-02-21,17.4
49,413,2020-05-22,266.04
49,414,2020-12-30,351.71
49,415,2021-01-23,224.12
50,416,2020-12-26,160.69
50,417,2020-11-19,299.44
50,418,2020-11-14,453.76
50,419,2021-06-26,123.53
50,420,2021-08-14,101.65
50,421,2021-03-13,397.97
50,422,2021-01-25,46.1
51,423,2021-10-16,226.25
51,424,2021-03-01,164.56
51,425,2021-12-15,379.47
51,426,2021-03-31,467.73
51,427,2021-02-28,298.82
51,428,2021-11-29,190.34
51,429,2021-07-29,32.44
51,430,2021-12-01,351.75
51,431,2021-09-30,318.87
51,432,2021-12-09,464.77
